atribute;order
checking_status_lt_0;3
checking_status_from_0_lt_200;3
checking_status_no_checking;3
checking_status_ge_200;3
duration_le_17d6;3
duration_gt_31d2;3
duration_from_17d6_le_31d2;3
credit_history_critical_or_other_existing_credit;3
credit_history_existing_paid;3
credit_history_delayed_previously;3
credit_history_no_credits_or_all_paid;3
credit_history_all_paid;3
purpose_radio_or_tv;3
purpose_education;3
purpose_furniture_or_equipment;3
purpose_new_car;3
purpose_used_car;3
purpose_business;3
purpose_domestic_appliance;3
purpose_repairs;3
purpose_other;3
purpose_retraining;3
credit_amount_le_38848d8;3
credit_amount_from_38848d8_le_7519d6;3
credit_amount_from_7519d6_le_11154d4;3
credit_amount_from_11154d4_le_14789d2;3
credit_amount_gt_14789d2;3
savings_status_no_known_savings;3
savings_status_lt_100;3
savings_status_from_500_lt_1000;3
savings_status_ge_1000;3
savings_status_from_100_lt_500;3
employment_ge_7;2
employment_from_1_lt_4;2
employment_from_4_lt_7;2
employment_unemployed;2
employment_lt_1;2
installment_commitment_gt_2d8;2
installment_commitment_from_1d6_le_2d2;2
installment_commitment_le_1d6;2
personal_status_male_single;1
personal_status_female_div_or_dep_or_mar;1
personal_status_male_div_or_sep;1
personal_status_male_mar_or_wid;1
other_parties_none;3
other_parties_guarantor;3
other_parties_co_applicant;3
residence_since_gt_2d8;3
residence_since_from_1d6_le_2d2;3
residence_since_le_1d6;3
property_magnitude_real_estate;3
property_magnitude_life_insurance;3
property_magnitude_no_known_property;3
property_magnitude_car;3
age_gt_52d6;1
age_le_30d2;1
age_from_41d4_le_52d6;1
age_from_30d2_le_41d4;1
other_payment_plans_none;3
other_payment_plans_bank;3
other_payment_plans_stores;3
housing_own;3
housing_for_free;3
housing_rent;3
existing_credits_from_1d6_le_2d2;3
existing_credits_le_1d6;3
existing_credits_gt_2d2;3
job_skilled;2
job_unskilled_resident;2
job_high_qualif_or_self_emp_or_mgmt;2
job_unemp_or_unskilled_non_res;2
num_dependents_le_1d2;3
num_dependents_gt_1d2;3
own_telephone_yes;3
own_telephone_none;3
foreign_worker_yes;1
foreign_worker_no;1
positive;4
negative;4
