attribute;order
PublicationRate_Low;3
PublicationRate_Medium;3
PublicationRate_High;3
PublicationRate_Very_High;3
years_since_MD_Low;2
years_since_MD_Medium;2
years_since_MD_High;2
years_since_MD_Very_High;2
SalaryIncrease_Low;4
SalaryIncrease_High;4
Dept_Biochemistry;2
Dept_Physiology;2
Dept_Genetics;2
Dept_Pediatrics;2
Dept_Medicine;2
Dept_Surgery;2
Gender_Female;1
Gender_Male;1
Research_emphasis;2
Clinical_emphasis;2
Board_certified_no;2
Board_certified_yes;2
Rank_Assistant;2
Rank_Associate;2
Rank_FullProfessor;2
